SUBMERCADO;PERIODO_COMERCIALIZACAO;PLD_HORA;DATAHORA
NORDESTE;673;319.88;2025-10-29 00:00:00
NORTE;673;319.89;2025-10-29 00:00:00
SUDESTE;673;319.89;2025-10-29 00:00:00
SUL;673;319.88;2025-10-29 00:00:00
NORDESTE;674;312.19;2025-10-29 01:00:00
NORTE;674;312.2;2025-10-29 01:00:00
SUDESTE;674;312.2;2025-10-29 01:00:00
SUL;674;312.19;2025-10-29 01:00:00
NORDESTE;675;306.05;2025-10-29 02:00:00
NORTE;675;306.06;2025-10-29 02:00:00
SUDESTE;675;306.06;2025-10-29 02:00:00
SUL;675;306.05;2025-10-29 02:00:00
NORDESTE;676;304.68;2025-10-29 03:00:00
NORTE;676;304.69;2025-10-29 03:00:00
SUDESTE;676;304.69;2025-10-29 03:00:00
SUL;676;304.68;2025-10-29 03:00:00
NORDESTE;677;305.96;2025-10-29 04:00:00
NORTE;677;305.97;2025-10-29 04:00:00
SUDESTE;677;305.97;2025-10-29 04:00:00
SUL;677;305.96;2025-10-29 04:00:00
NORDESTE;678;308.73;2025-10-29 05:00:00
NORTE;678;308.74;2025-10-29 05:00:00
SUDESTE;678;308.74;2025-10-29 05:00:00
SUL;678;308.73;2025-10-29 05:00:00
NORDESTE;679;58.6;2025-10-29 06:00:00
NORTE;679;301.89;2025-10-29 06:00:00
SUDESTE;679;301.89;2025-10-29 06:00:00
SUL;679;301.88;2025-10-29 06:00:00
NORDESTE;680;58.6;2025-10-29 07:00:00
NORTE;680;294.67;2025-10-29 07:00:00
SUDESTE;680;294.67;2025-10-29 07:00:00
SUL;680;294.67;2025-10-29 07:00:00
NORDESTE;681;58.6;2025-10-29 08:00:00
NORTE;681;290.38;2025-10-29 08:00:00
SUDESTE;681;290.38;2025-10-29 08:00:00
SUL;681;290.39;2025-10-29 08:00:00
NORDESTE;682;135.76;2025-10-29 09:00:00
NORTE;682;274.32;2025-10-29 09:00:00
SUDESTE;682;274.32;2025-10-29 09:00:00
SUL;682;274.33;2025-10-29 09:00:00
NORDESTE;683;279.42;2025-10-29 10:00:00
NORTE;683;279.43;2025-10-29 10:00:00
SUDESTE;683;279.43;2025-10-29 10:00:00
SUL;683;279.44;2025-10-29 10:00:00
NORDESTE;684;293.07;2025-10-29 11:00:00
NORTE;684;293.08;2025-10-29 11:00:00
SUDESTE;684;293.07;2025-10-29 11:00:00
SUL;684;293.08;2025-10-29 11:00:00
NORDESTE;685;286.64;2025-10-29 12:00:00
NORTE;685;286.65;2025-10-29 12:00:00
SUDESTE;685;286.65;2025-10-29 12:00:00
SUL;685;286.65;2025-10-29 12:00:00
NORDESTE;686;303.85;2025-10-29 13:00:00
NORTE;686;303.86;2025-10-29 13:00:00
SUDESTE;686;303.86;2025-10-29 13:00:00
SUL;686;303.85;2025-10-29 13:00:00
NORDESTE;687;314.12;2025-10-29 14:00:00
NORTE;687;314.13;2025-10-29 14:00:00
SUDESTE;687;314.13;2025-10-29 14:00:00
SUL;687;314.12;2025-10-29 14:00:00
NORDESTE;688;321.07;2025-10-29 15:00:00
NORTE;688;321.08;2025-10-29 15:00:00
SUDESTE;688;321.08;2025-10-29 15:00:00
SUL;688;321.07;2025-10-29 15:00:00
NORDESTE;689;338.02;2025-10-29 16:00:00
NORTE;689;338.03;2025-10-29 16:00:00
SUDESTE;689;338.03;2025-10-29 16:00:00
SUL;689;338.02;2025-10-29 16:00:00
NORDESTE;690;346.55;2025-10-29 17:00:00
NORTE;690;347.85;2025-10-29 17:00:00
SUDESTE;690;347.85;2025-10-29 17:00:00
SUL;690;347.84;2025-10-29 17:00:00
NORDESTE;691;342.3;2025-10-29 18:00:00
NORTE;691;357.12;2025-10-29 18:00:00
SUDESTE;691;357.12;2025-10-29 18:00:00
SUL;691;357.12;2025-10-29 18:00:00
NORDESTE;692;332.94;2025-10-29 19:00:00
NORTE;692;362.0;2025-10-29 19:00:00
SUDESTE;692;362.0;2025-10-29 19:00:00
SUL;692;362.0;2025-10-29 19:00:00
NORDESTE;693;324.06;2025-10-29 20:00:00
NORTE;693;357.85;2025-10-29 20:00:00
SUDESTE;693;357.86;2025-10-29 20:00:00
SUL;693;357.85;2025-10-29 20:00:00
NORDESTE;694;326.5;2025-10-29 21:00:00
