DATA;HORA_UTC;TEMP_MAX_HORA_ANT_C;TEMP_MIN_HORA_ANT_C;UMID_REL_AR_PCT;DIRECAO_VENTO_GRAUS;VELOC_VENTO_MS
2025-10-28;00:00;20.7;19.8;87;124;3.9
2025-10-28;01:00;19.8;19.7;90;119;4.5
2025-10-28;02:00;19.7;19.4;91;106;5.2
2025-10-28;03:00;19.4;19.2;90;108;4.6
2025-10-28;04:00;19.2;19.0;90;117;3.2
2025-10-28;05:00;19.0;18.9;91;135;1.5
2025-10-28;06:00;18.9;18.8;94;162;1.1
2025-10-28;07:00;18.8;18.7;95;180;0.4
2025-10-28;08:00;18.7;18.7;95;98;2.5
2025-10-28;09:00;18.7;18.7;95;90;3.6
2025-10-28;10:00;19.0;18.7;94;90;3.6
2025-10-28;11:00;19.5;19.0;92;131;3.3
2025-10-28;12:00;20.2;19.5;88;108;2.3
2025-10-28;13:00;20.7;20.2;86;135;2.5
2025-10-28;14:00;21.0;20.7;85;143;1.8
2025-10-28;15:00;21.8;21.0;82;135;3.1
2025-10-28;16:00;22.6;21.8;79;162;3.4
2025-10-28;17:00;23.3;22.6;77;184;5.8
2025-10-28;18:00;23.3;22.6;78;162;1.1
2025-10-28;19:00;22.6;22.4;79;164;5.2
2025-10-28;20:00;22.4;22.0;82;157;4.7
2025-10-28;21:00;22.0;21.3;85;157;5.5
2025-10-28;22:00;21.3;20.6;90;135;6.1
2025-10-28;23:00;20.6;20.3;92;120;5.8
